        21: G21  2018- 1- 2  0:10:30.0000000  Eliminate info: elevation angle is 6.96 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        22: G11  2018- 1- 2  0:11: 0.0000000  Eliminate info: elevation angle is 5.79 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        22: G21  2018- 1- 2  0:11: 0.0000000  Eliminate info: elevation angle is 6.92 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        23: G11  2018- 1- 2  0:11:30.0000000  Eliminate info: elevation angle is 5.95 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        23: G21  2018- 1- 2  0:11:30.0000000  Eliminate info: elevation angle is 6.87 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        24: G11  2018- 1- 2  0:12: 0.0000000  Eliminate info: elevation angle is 6.11 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        24: G21  2018- 1- 2  0:12: 0.0000000  Eliminate info: elevation angle is 6.82 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        25: G11  2018- 1- 2  0:12:30.0000000  Eliminate info: elevation angle is 6.27 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        25: G21  2018- 1- 2  0:12:30.0000000  Eliminate info: elevation angle is 6.77 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        26: G11  2018- 1- 2  0:13: 0.0000000  Eliminate info: elevation angle is 6.43 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        26: G21  2018- 1- 2  0:13: 0.0000000  Eliminate info: elevation angle is 6.73 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        27: G11  2018- 1- 2  0:13:30.0000000  Eliminate info: elevation angle is 6.60 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        27: G21  2018- 1- 2  0:13:30.0000000  Eliminate info: elevation angle is 6.68 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        28: G11  2018- 1- 2  0:14: 0.0000000  Eliminate info: elevation angle is 6.76 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        28: G21  2018- 1- 2  0:14: 0.0000000  Eliminate info: elevation angle is 6.63 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        29: G11  2018- 1- 2  0:14:30.0000000  Eliminate info: elevation angle is 6.92 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        29: G21  2018- 1- 2  0:14:30.0000000  Eliminate info: elevation angle is 6.58 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        30: G11  2018- 1- 2  0:15: 0.0000000  Eliminate info: elevation angle is 7.09 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        30: G21  2018- 1- 2  0:15: 0.0000000  Eliminate info: elevation angle is 6.52 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        31: G11  2018- 1- 2  0:15:30.0000000  Eliminate info: elevation angle is 7.25 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        31: G21  2018- 1- 2  0:15:30.0000000  Eliminate info: elevation angle is 6.47 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        32: G11  2018- 1- 2  0:16: 0.0000000  Eliminate info: elevation angle is 7.42 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        32: G21  2018- 1- 2  0:16: 0.0000000  Eliminate info: elevation angle is 6.42 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        33: G11  2018- 1- 2  0:16:30.0000000  Eliminate info: elevation angle is 7.58 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        33: G21  2018- 1- 2  0:16:30.0000000  Eliminate info: elevation angle is 6.37 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        34: G11  2018- 1- 2  0:17: 0.0000000  Eliminate info: elevation angle is 7.75 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        34: G21  2018- 1- 2  0:17: 0.0000000  Eliminate info: elevation angle is 6.31 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        35: G03  2018- 1- 2  0:17:30.0000000  Eliminate info: elevation angle is 9.94 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        35: G11  2018- 1- 2  0:17:30.0000000  Eliminate info: elevation angle is 7.91 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        35: G21  2018- 1- 2  0:17:30.0000000  Eliminate info: elevation angle is 6.26 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        36: G03  2018- 1- 2  0:18: 0.0000000  Eliminate info: elevation angle is 9.87 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        36: G11  2018- 1- 2  0:18: 0.0000000  Eliminate info: elevation angle is 8.08 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        36: G21  2018- 1- 2  0:18: 0.0000000  Eliminate info: elevation angle is 6.20 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        37: G03  2018- 1- 2  0:18:30.0000000  Eliminate info: elevation angle is 9.80 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        37: G11  2018- 1- 2  0:18:30.0000000  Eliminate info: elevation angle is 8.25 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        37: G21  2018- 1- 2  0:18:30.0000000  Eliminate info: elevation angle is 6.15 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        38: G03  2018- 1- 2  0:19: 0.0000000  Eliminate info: elevation angle is 9.73 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        38: G11  2018- 1- 2  0:19: 0.0000000  Eliminate info: elevation angle is 8.41 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        38: G21  2018- 1- 2  0:19: 0.0000000  Eliminate info: elevation angle is 6.09 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        39: G03  2018- 1- 2  0:19:30.0000000  Eliminate info: elevation angle is 9.66 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        39: G11  2018- 1- 2  0:19:30.0000000  Eliminate info: elevation angle is 8.58 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        39: G21  2018- 1- 2  0:19:30.0000000  Eliminate info: elevation angle is 6.03 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        40: G03  2018- 1- 2  0:20: 0.0000000  Eliminate info: elevation angle is 9.59 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        40: G11  2018- 1- 2  0:20: 0.0000000  Eliminate info: elevation angle is 8.75 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        40: G21  2018- 1- 2  0:20: 0.0000000  Eliminate info: elevation angle is 5.97 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        41: G03  2018- 1- 2  0:20:30.0000000  Eliminate info: elevation angle is 9.52 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        41: G11  2018- 1- 2  0:20:30.0000000  Eliminate info: elevation angle is 8.92 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        41: G21  2018- 1- 2  0:20:30.0000000  Eliminate info: elevation angle is 5.92 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
